Item #,"PDC
Reference",Discipline / System,Sub-System,Description,"Date
Added",Show to Meta?,Pricing Status,Client Approval?,"Estimated Cost
($USD)",Qty,UoM,"NRC
Estimate
Total 200MW
($USD)",Base Build Mod vs. TFO Add,Paid By,Scope Spend,"Approved
(Sales/SE)","Approved
(D&C or Cost Est)","Approved
(Portfolio)","Pricing Accuracy
(SE ROM, D&C ROM, Vendor ROM, Quote)",DLR BIC,RFS Condition?,Column1,DLR Internal Notes / Status,Meta SME,DLR Owner,Pre-Sales Notes & Customer Clarifications
55,04.04.M,HAC Design,Labeling,Furnish and install row-position labels in each hot aisle; furnish and install row-end labels above each HAC pods door,46062,Yes,Closed,,16095,20,ea,321900,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
56,04.05.B.2,BMS/EPMS,DCIM interface,"Provide read-only web portal for DCIM interface (not API) via Schneider Electric UOC - Aveva platform.  Includes initial deployment, testing, and integration costs plus annual licensing & support.",46062,Yes,Closed,,2435346.736,1,Lot,2435346.736,TFO Add,Meta,PBB,Yes,Yes,,Vendor ROM,BMS,Yes,,Schneider UOC - Aveva Platform.  $600k up-front NRC cost plus $90k/yr annual license fee escalated at 3.75% annually.,,Mark Fisher,
57,04.05.C.2,BMS/EPMS,BMS/EPMS points,Test and verify all BMS and EPMS point per Meta requirements,46062,No,Closed,,0,1,Lot,0,BB Mod,DLR,PBB,,,,,BMS,Yes,,"This cost is included in the Schneider UOC - Aveva Platform detailed in the ""Provide read-only web portal for DCIM interface (not API)"" item above.",,Mark Fisher,
58,04.05.C.3,BMS/EPMS,BMS/EPMS system,Create translation table to cross-rerference all BMS and EPMS points to Meta naming standards per Meta document BMS-PLAN-348 - FDM Playbook Rev 1.0),46062,Yes,Closed,,0,1,Lot,0,TFO Add,Meta,PBB,,,,,BMS,Yes,,"This cost is included in the Schneider UOC - Aveva Platform detailed in the ""Provide read-only web portal for DCIM interface (not API)"" item above.",,Mark Fisher,
59,"04.05.C.5.i.a
04.05.C.5.ii.a",Mechanical ,SLA sensors - air (DLR),"Furnish and install wired temperature & humidity sensors in cold aisles.  Sensors to be located at front of IT equipment racks, mounted 5'-0"" A.F.F.  Includes combination T/H sensor, wiring, junction boxes, conduits, and associated hardware for connection to Landlord's BMS system via Modbus on RS485 interface to Landlord's gateways.  Qty of sensors = 3 per row.",46085,Yes,Closed,,582750,20,ea,11655000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
60,"04.05.C.5.i.a
04.05.C.5.ii.a",Mechanical ,SLA sensors - air (Meta),"Furnish and install wired temperature & humidity sensors in cold aisles.  Sensors to be located at front of IT equipment racks, mounted 5'-0"" A.F.F.  Includes combination T/H sensor, wiring, junction boxes, conduits, and associated hardware for connection to Meta's FacNet via Modbus on RS485 interface to Meta's gateways.  Qty of sensors = 3 per row.",46062,Yes,Closed,,333000,20,ea,6660000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
61,"04.05.C.5.i.b
04.05.C.5.i.c
04.05.C.5.ii.b
04.05.C.5.ii.c
04.05.C.6",Mechanical ,SLA sensors - air (Meta),"Ancillary equipment & wiring (gateways, twisted pair wiring for RS485 interface, CAT6 wiring for uplinks to Meta FacNet, enclosures, conduit/raceway, fittings, etc.), for T/H sensors",46062,Yes,Closed,,292500,20,per Data Hall,5850000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
62,04.05.C.5.iii.a,Mechanical ,SLA sensors - technical water (DLR),"Furnish and install wired sensors to measure supply water temperature, return water temperature, differential pressure, and flow rate on the technology cooling system (TCS) loops.  Installation to include sensors, wiring, junction boxes, conduits, and associated hardware for connection to Landlord's BMS system via Modbus on RS485 interface to Landlord's gateways.  Qty of sensors = 14 of each type per data hall. ",46085,Yes,Closed,,277500,20,ea,5550000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
63,04.05.C.5.iii.a,Mechanical ,SLA sensors - technical water (Meta),"Furnish and install wired sensors to measure supply water temperature, return water temperature, differential pressure, and flow rate on the technology cooling system (TCS) loops.  Installation to include sensors, wiring, junction boxes, conduits, and associated hardware for connection to Landlord's BMS system via Modbus on RS485 interface to Landlord's gateways.  Qty of sensors = 14 of each type per data hall. ",46062,Yes,Closed,,160950,20,ea,3219000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
64,"04.05.C.5.iii.b
04.05.C.5.iii.c
04.05.C.6",Mechanical ,SLA sensors - technical water (Meta),"Ancillary equipment & wiring (gateways, twisted pair wiring for RS485 interface, CAT6 wiring for uplinks to Meta FacNet, enclosures, conduit/raceway, fittings, etc.), for technical water sensors",46062,Yes,Closed,,83250,20,per Data Hall,1665000,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Cost Estimation,
65,04.06.D.a.i,Security,Manholes,Furnish and install locking covers on all telecommunications manholes.,46062,Yes,Closed,,9000,25,ea,225000,BB Mod,Meta,Site,Yes,Yes,Yes,D&C ROM,Design,Yes,,Cost per manhole - assuming 12,Ben Gonyea,Alex Arteaga,"May change based on meeting with Meta 3/2 - continue on this as is for now.
Number of manholes may increase based on 3/9/26 5:00pm CDT call with Meta."
66,04.06.D.a.ii,Security,Manholes,Furnish and install alarming on manholes which are outside of the campus security perimeter fence.,46062,Yes,Closed,,27500,9,ea,247500,BB Mod,Meta,Site,Yes,Yes,Yes,D&C ROM,Design,Yes,,Cost per manhole - assuming 12,Ben Gonyea,Alex Arteaga,"Per 3/9/26 5:00pm CDT call with Meta, no change to # of manholes outside of the campus security perimeter."
67,"04.06.D.d.iii
04.06.D.d.iv
04.06.E.a
04.06.E.b
04.06.E.c
04.06.E.d",Security,Caging,Furnish and install demising caging within Meta leased data hall spaces.,46087,Yes,Closed,,140,,per linear foot,0,TFO Add,Meta,Suites,Yes,Yes,,,Design,No,,,,Kerry O'Brien,"Per 3/9/26 5:00pm CDT call with Meta, no up-front need for demising cages within data halls."
68,04.06.E.b.iv,Security,Caging,Furnish and install privacy panels/screens on caging.,46062,Yes,Closed,,125,,per linear foot,0,TFO Add,Meta,PBB,Yes,Yes,,,Design,No,,,,Kerry O'Brien,"Per 3/9/26 5:00pm CDT call with Meta, no up-front need for privacy panels on demising cages."
69,04.06.E.c.i,Security,Caging,"Furnish and install cage mesh between data hall white space and CRAH/PDU galleries to Meta requirements of 1"" x 1"" openings with #9 ga. or larger wire, finish = black powder coat",46062,Yes,Closed,,22500,20,per Data Hall,450000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,Cost per suite - assuming 20 suites,,Alex Arteaga,Do we have a submittal to share for approval?
70,04.06.E.c.i.1,Security,Caging,"Furnish and install cage mesh within POP rooms to meet Meta requirements of 1"" x 1"" openings with #9 ga. or larger wire, finish = black powder coat",46062,Yes,Closed,,36000,2,per POP room,72000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,"Cost per POP; cost only assumes PPOP and SPOP, not TPOE or QPOE",,Alex Arteaga,
71,04.06.F.d,Security,Access control,Add 2-factor authentication (card key plus biometric) access control to the exterior of loading dock dock doors,46065,Yes,Closed,,15000,1,Lot,15000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Security,Yes,,cost per door assuming biometric,,Dalton Rosenberger,
72,04.06.G.a.vi,Security,Access control,"Provide access control which adheres to OSDP version 2.2 requirements.  Includes communications & device encryption, reader tamper alarming & monitoring, furnishing & installing OSDP v2.2 compliant control boards, and secure cabling.",46065,Yes,Closed,,250000,1,Lot,250000,BB Mod,Meta,PBB,Yes,Yes,,DLR Security ROM,Security,Yes,,Included the ROM cost difference for changing out our standard access control boards and cabling to meet OSDP requirements. ,,Dalton Rosenberger,
73,"04.06.G.b
04.06.K",Security,Access control,"Furnish and install (or upgrade) access control for Meta leased spaces, either single-factor authenticaion (card key) or dual factor authentication (card-key plus biometric) based on requirements listed in the ""Access Control"" portion of the ""High Risk Spaces"" or ""Low/Medium Risk Spaces"" tables in the ""Device Matrix"" section of the PDC plus accompanying notes.",46085,Yes,Closed,,450000,1,Lot,450000,BB Mod,Meta,PBB,Yes,Yes,,DLR Security ROM,Security,Yes,,"Included ROM costs for additions and  customer spaces not currently captured in deisgn (i.e. ERAD, Spoke Room, etc.)",,Dalton Rosenberger,
74,,Security,Access control,"Provide security, network, and systems equipment to support the Meta Robotics - Door Automation requirements. All common areas and data hall wifi to be on Landlord system.",46092,Yes,Closed,,7000000,1,Lot,7000000,BB Mod,Meta,PBB,,,,DLR Security ROM,Security,Yes,,"This includes all-in (security, IT, install, cable/conduit) ROM costs for adding WAP's to PBB (qty - 100). Includes adding WAP's devices only to all data halls (qty - 360). Includes estimated IT & SEC costs for the Robotics door automation solution (not vetted or engineered). ",,Dalton Rosenberger,
75,"04.06.H.a
04.06.K.a
04.06.K.b",Security,Video Surveillance,"Furnish, install, program, test, commission, and provision video surveillance cameras throughout the campus, building common areas, building support areas, and Landlord accessible spaces to meet PDC video surveillence requirments.  Includes video surveillence cameras, housings, supports, wiring, junction boxes, conduits, fittings, VSS head end equipment, IT equipment, cabling, patch panels, enclosures, software, testing, commisisoning, and provisioning.
NOTE:  Video surveillance within Meta leased spaces (Network rooms, data halls, storage spaces, office spaces, etc.) is not included on this item. ",46084,Yes,Closed,,2200000,1,Lot,2200000,BB Mod,Meta,PBB,Yes,Yes,,Security Consultant ROM,Security,Yes,,Includes additional IT costs to support VSS additions,,Dalton Rosenberger,
76,"04.06.H.b
04.06.K.a
04.06.K.b",Security,Video Surveillance,"Furnish, install, program, test, commission, and provision video surveillance cameras within Meta leased spaces to meet PDC video surveillence requirements.  Includes video surveillence cameras, housing, supports, wiring, junction boxes, conduits, fittings, additional VSS head end equipment, IT equipment, cabling, patch panels, enclosures, software, testing, commisisoning, and provisioning.
NOTE:  Video surveillancefor campus, common areas, building support areas, and Landlord-only accessible spaces is not included on this item. ",46085,Yes,Closed,,12601568,1,Lot,12601568,TFO Add,Meta,PBB,,,,Security Consultant ROM,Security,No,,Includes additional IT costs to support VSS additions,,Dalton Rosenberger,
77,04.06.I.a,Security,Intrusion Detection,"Provide intrusion detection capability including laminated glass or anti-shatter film on all glazing which is within 10 ft (3m) of grade, door held open and door forced open detection on all exterior and interior doors, and all man-passable openings into Meta leased spaces that are not physically secured to prevent unauthorized access (e.g., those man passable opening which do not have tamper-resistant fasteners, physical locks, etc.).",46085,No,Closed,Not Required,0,1,Lot,0,BB Mod,Meta,PBB,Yes,Yes,,N/A,Security,Yes,,Already captured in design as part of the DLR Security DEG,,Dalton Rosenberger,
78,04.07.E,Telecom,OSP Pathway,"OSP plant: Add maholes and OSP conduits on south side of CLT13 building to create full OSP conduit ring around CLT13 building, increase conduit count into TPOE (POE#3) and QPOE (POE#4), reduce perimeter duct bank ring conduit count to 24 x 4"" conduits.  Includes adding 2 x Landlord standard size manholes, adding 24 x 4"" OSP conduits x ±950' run, adding 4 x 4"" OSP conduits from MH06 to TPOE (POE#3), and adding 12 x 4"" OSP conduits from MH09 to QPOE (POE#4) to create QPOE (POE#4).",46092,Yes,Closed,,4800000,1,Lot,4800000,BB Mod,Meta,Site,Yes,Yes,,D&C ROM,Design,Yes,,DE&C: Lump sum,,Alex Arteaga,"Further refinement of duct bank requirements provided by Jeremy Berger during 3/9/26 5:00pm CDT call.  # of conduits required will not be uniform throughout the OSP duct bank ring & POEs, counts to vary depending upon location/run.  Eliminating this item from NRC summation."
79,04.07.F.a.i.2.a,Telecom,ISP Pathways,"MMR: Furnish & install four (4) 4-post racks in each POP room.  Rack manufacturer = Chatsworth Products, Inc. (CPI)",46064,Yes,Closed,,6500,4,per rack,26000,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,"cost per Rack; assuming PPOP, SPOP, TPOE, QPOE",,Alex Arteaga,
80,04.07.F.a.i.2.b,Telecom,ISP Pathways,"MMR: Furnish & install ISP telecommunications pathways (ladder rack, wire basket tray, fiber tray) in POP rooms to support carrier installations.  Reconfigure existing Landlord design as required per Meta direction.",46087,Yes,Closed,,277500,4,per POP room,1110000,TFO Add,Meta,PBB,,,,,Design,No,,,,Alex Arteaga,
81,04.07.F.a.i.2.c,Telecom,ISP Pathways,"Soft Costs:  Design fees for detailed design of telecommunications pathways (conduit, trunking, ladder rack, wire basket tray, fiber tray, or similar) from POP rooms to Network suites per Meta provided design requirements.",46064,Yes,Closed,,133200,1,Lot,133200,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,D&C allowance for design and construciton,,Alex Arteaga,
82,04.07.F.a.i.2.c,Telecom,ISP Pathways,"Build Costs: Furnish and install telecommunications pathways (conduit, trunking, ladder rack, wire basket tray, fiber tray, or similar) from POP rooms to Network suites per detailed designs based on Meta provided design requirements.",46064,Yes,Closed,,7909882,1,Lot,7909882,TFO Add,Meta,PBB,,,,,Design,No,,,,Cost Estimation,
83,04.07.F.a.ii.2,Telecom,ISP Pathways,"Entrance Facilities:  Furnish and install void-free, fire-rated plywood covering on all four (4) walls of POP rooms",46087,Yes,Closed,,8000,4,per POP room,32000,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,"cost per room; assuming PPOP, SPOP, TPOE, QPOE
NOTE:  CRitsema increased cost from $2k per room to $8k per room, now assuming $2k per wall.",,Alex Arteaga,Confirm this cost? Is this for one wall? All walls? What is scope…
84,"04.07.F.a.ii.5
04.07.F.b.iii.4.a",Telecom,ISP Pathways,"Riser Rooms, Carrier & Front-End Network:  Use POP and POE rooms as a riser and extend pathways to 2nd floor. Includes core drilling, 4"" diameter conduit sleeves between floors, fire stopping, and wall-mounted ladder rack or wire basket tray to support vertical data cable runs between floors.",46064,Yes,Closed,,277500,1,Lot,277500,BB Mod,Meta,PBB,Yes,Yes,,D&C ROM,Design,Yes,,D&C allowance for design and construciton,,Alex Arteaga,
85,04.07.F.b.iii.4.b,Telecom,ISP Pathways,"Riser Rooms, Intra-building Back-End Network:  Deploy telecommunications pathways between back-end MDF pairs.  Includes core drilling / slab cuts, 20"" x 6"" sleeves between floors, fire stopping, and supports for vertical data cable runs between floors.",46064,Yes,Closed,,138750,1,Lot,138750,TFO Add,Meta,PBB,,,,,Design,No,,"Cost estimation based on six (6) levels of pathways - 1 x ladder rack, 1 x fiber tray, 4 x wire basket tray",,Cost Estimation,
86,04.07.F.b,Telecoms,ISP Pathways,"Engineer, furnish, and install telecommunications pathways to support data cabling for customer Front End (FE), Back End (BE), and General Systems (GS) networks, including ladder rack (Tier-1), Cable Trough (Tier-2), and wire basket tray (Tier-3, Tier-4, Tier-5, and Tier-GS), between Meta leased spaces (Network suites, Megapods, Offce Space, Storage Space, GS spaces, ancillary support rooms, etc.) and between Meta lease spaces and Landlord spaces.  Include pathways, pathway accessories, IDFs (GSIDF and ADMIDF), MDFs (GSMDF), racks, rack accessories, cable management, rack power distribution, rack power circuits, wiring, conduits, junction boxes, supports, bracket, and associated hardware.  Precise requirement to be per detailed design drawings & specifications based upon Meta provided design requirements.",46084,Yes,Closed,,22107803,1,Lot,22107803,TFO Add,Meta,PBB,,,,,Design,No,,"Cost estimation based on six (6) levels of pathways - 1 x ladder rack, 1 x fiber tray, 4 x wire basket tray",,Cost Estimation,
87,04.08.A,DAS/PTP,Public Safety (ERRCS) DAS,"Furnish and install public safety (ERRCS) DAS per AHJ requirements.  Includes all ERRCS active equipment, antennas, wiring (LV and power), conduits, junction boxes, fittings, supports, appurtenances, and associated hardware for a complete system installation.",46073,No,Closed,Not Required,650000,0,Lot,0,N/A,N/A,PBB,N/A,N/A,N/A,D&C ROM,Design,Yes,,D&C allowance for code required DAS system.  Cannot be shared with commercial DAS.,,Alex Arteaga,Required by AHJ.  Being carried in DLR BoD program - not included in AIR/BOM costing calculations.
88,04.08.B,DAS/PTP,Land Mobile Radio (LMR),"Furnish and install stand-alone land mobile radio (LMR) repeater system building-wide.  Includes all LMR active equipment, antennas, wiring (LV and power), conduits, junction boxes, fittings, supports, appurtenances, and associated hardware for a complete system installation.",46084,Yes,Closed,,650000,1,Lot,650000,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,"Can be combined with Commercial (Cellular) DAS for same price, i.e., cost of stand-alone LMR repeater system is $650k, cost of combined LMR+DAS system is $650k.",,Alex Arteaga,"Reivew Meta preferred vendors (Motorola), are we DLR planning to install anyway as part of our base build?"
89,04.08.C,DAS/PTP,Commercial (Cellular) DAS,"Furnish and install commercial (cellular) distributed antenna system (DAS) building-wide for Tenant, Landlord, and visitor use.  Includes all DAS active equipment, antennas, wiring (LV and power), conduits, junction boxes, fittings, supports, appurtenances, and associated hardware for a complete system installation.",46073,Yes,Closed,,650000,1,Lot,650000,TFO Add,Meta,PBB,Yes,Yes,,D&C ROM,Design,No,,"Costing matches D&C allowance for AHJ code-required DAS system.  Per AHJ, commercial DAS is not allowed to share system with public safety (ERRCS) DAS.  Can be combined with LMR repeater system for same price, i.e., cost of stand-alone commercial DAS system is $650k, cost of combined LMR+DAS system is $650k.",,Alex Arteaga,
90,04.08.D.d,DAS/PTP,Precision Timing Protocol (PTP GPS),"GPS Antenna: Furnish and install 2"" mast suitable for mounting Huber Suhner GPS-over-fiber Precision Timing Protocol (PTP) antenna.  Locate antenna on suitable position on building rooftop per customer direction.  Includes mast, base, weights, roof mat, and Class-4 Laser warning signage.  Antenna to be provided and installed by Meta / others. ",46079,Yes,Closed,,18710.16,2,per GPS,37420.32,TFO Add,Meta,PBB,,,,,Design,No,,,,Cost Estimation,
91,04.08.D.d,DAS/PTP,Precision Timing Protocol (PTP GPS),"GPS Pathway: Furnish and install 2 x 2"" diameter EMT conduits from Network room data hall to rooftop antenna installation area.  Includes NEMA 4 rated rooftop enclosure, rooftop doghouse, penetrations (rooftop, floor/ceiling slab, wall), conduits, junction boxes, pull boxes, supports, fittings, associated hardware, and mule tape / pull tape.  Cabling to be provided and installed by Meta / others.",46079,Yes,Closed,,38230.62,4,per Data Hall,152922.48,TFO Add,Meta,PBB,,,,,Design,No,,,,Cost Estimation,
92,04.09,Fire Alarm,Fire Alarm,Reconfiguration or addition of upstream fire alarm equipment (LFACP or FACP) to support changes to fire detection fixture locations/additions,46062,Yes,Closed,,45000,20,per Data Hall,900000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,
93,04.09,Fire Alarm,Fire Alarm,"Relocation, reconfiguration, or addition of fire alarm fixtures to fully coordinate with Meta IT equipment row and aisle locations",46062,Yes,Closed,,275000,20,per Data Hall,5500000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,
94,04.10,Fire Detection,Fire Detection,"Reconfiguration or addition of upstream fire detection equipment (VESDA head ends, LFACP or FACP) to support changes to fire detection fixture locations/additions",46062,Yes,Closed,,65000,20,per Data Hall,1300000,BB Mod,Meta,Suites,,,,,Design,Yes,,,,Alex Arteaga,
95,04.10,Fire Detection,Fire Detection,"Relocation, reconfiguration, or addition of fire detection fixtures to fully coordinate with Meta IT equipment row and aisle locations",46062,Yes,Closed,,100000,20,per Data Hall,2000000,BB Mod,Meta,Suites,Yes,Yes,,D&C ROM,Design,Yes,,,,Alex Arteaga,
96,04.11,Fire Suppression,Fire Suppression,"Reconfiguration or addition of upstream fire suppression equipment (pre-action equipment, pumps,  valves, etc.) to support changes to fire detection fixture locations/additions",46062,Yes,Closed,,16500,20,per Data Hall,330000,BB Mod,Meta,Suites,,,,,Design,Yes,,,,Alex Arteaga,
97,04.11,Fire Suppression,Fire Suppression,"Relocation, reconfiguration, or addition of fire suppression fixtures (sprinkler heads) and related pipng to fully coordinate with Meta IT equipment row and aisle locations",46062,Yes,Closed,,45000,20,per Data Hall,900000,BB Mod,Meta,Suites,,,,,Design,Yes,,,,Alex Arteaga,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Not Included:
MCR Racks
2-post and 4-post IT equipment racks
Fiber distribution frams / fiber splicing racks / frames
Meta admin furniture",,,,,,,,,,,,,,,,,,,,,,
